"","LGA","Dates","Capacity","Installations"
"159","Albany (C)","2015-06-01",144.32,27
"160","Albany (C)","2015-07-01",137.48,33
"161","Albany (C)","2015-08-01",85.47,23
"162","Albany (C)","2015-09-01",141.705,30
"163","Albany (C)","2015-10-01",71.455,22
"164","Albany (C)","2015-11-01",141.385,22
"165","Albany (C)","2015-12-01",87.14,26
"166","Albany (C)","2016-01-01",76.945,21
"167","Albany (C)","2016-02-01",78.63,26
"168","Albany (C)","2016-03-01",114.292,27
"169","Albany (C)","2016-04-01",56.44,13
"170","Albany (C)","2016-05-01",54.215,17
"171","Albany (C)","2016-06-01",94.605,13
"172","Albany (C)","2016-07-01",42.02,11
"173","Albany (C)","2016-08-01",107.31,31
"174","Albany (C)","2016-09-01",168.93,30
"175","Albany (C)","2016-10-01",40.175,10
"176","Albany (C)","2016-11-01",87.9,18
"177","Albany (C)","2016-12-01",105.99,24
"178","Albany (C)","2017-01-01",70.52,17
"179","Albany (C)","2017-02-01",182.51,21
"180","Albany (C)","2017-03-01",162.19,33
"181","Albany (C)","2017-04-01",76.932,18
"182","Albany (C)","2017-05-01",119.714,22
"183","Albany (C)","2017-06-01",308.31,28
"184","Albany (C)","2017-07-01",57.318,12
"185","Albany (C)","2017-08-01",145.505,27
"186","Albany (C)","2017-09-01",130.775,22
"187","Albany (C)","2017-10-01",125.955,29
"188","Albany (C)","2017-11-01",148.47,30
"189","Albany (C)","2017-12-01",160.892,35
"190","Albany (C)","2018-01-01",132.545,28
"191","Albany (C)","2018-02-01",211.44,32
"192","Albany (C)","2018-03-01",143.033,23
"193","Albany (C)","2018-04-01",222.9,27
"194","Albany (C)","2018-05-01",123.35,25
"195","Albany (C)","2018-06-01",147.305,27
"196","Albany (C)","2018-07-01",216.03,33
"197","Albany (C)","2018-08-01",134.71,25
"198","Albany (C)","2018-09-01",119,19
"199","Albany (C)","2018-10-01",223.56,36
"200","Albany (C)","2018-11-01",147.874,25
"201","Albany (C)","2018-12-01",210.7,32
"202","Albany (C)","2019-01-01",91.075,20
"203","Albany (C)","2019-02-01",220.425,42
"204","Albany (C)","2019-03-01",123.37,24
"205","Albany (C)","2019-04-01",142.683,25
"206","Albany (C)","2019-05-01",180.775,37
"207","Albany (C)","2019-06-01",148,19
"208","Albany (C)","2019-07-01",133.13,27
"209","Albany (C)","2019-08-01",225.055,33
"210","Albany (C)","2019-09-01",128.96,20
"211","Albany (C)","2019-10-01",193.32,39
"212","Albany (C)","2019-11-01",430.575,56
"213","Albany (C)","2019-12-01",481.454,35
"214","Armadale (C)","2001-04-01",0,0
"215","Armadale (C)","2001-05-01",0,0
"216","Armadale (C)","2001-06-01",0,0
"217","Armadale (C)","2001-07-01",0,0
"218","Armadale (C)","2001-08-01",0,0
"219","Armadale (C)","2001-09-01",0,0
"220","Armadale (C)","2001-10-01",0,0
"221","Armadale (C)","2001-11-01",0,0
"222","Armadale (C)","2001-12-01",0,0
"223","Armadale (C)","2002-01-01",0,0
"224","Armadale (C)","2002-02-01",0,0
"225","Armadale (C)","2002-03-01",0,0
"226","Armadale (C)","2002-04-01",0,0
"227","Armadale (C)","2002-05-01",0,0
"228","Armadale (C)","2002-06-01",0,0
"229","Armadale (C)","2002-07-01",0,0
"230","Armadale (C)","2002-08-01",0,0
"231","Armadale (C)","2002-09-01",0,0
"232","Armadale (C)","2002-10-01",0,0
"233","Armadale (C)","2002-11-01",0,0
"234","Armadale (C)","2002-12-01",0,0
"235","Armadale (C)","2004-01-01",0,0
"236","Armadale (C)","2004-02-01",0,0
"237","Armadale (C)","2004-03-01",0,0
"238","Armadale (C)","2004-04-01",0,0
"239","Armadale (C)","2004-05-01",0,0
"240","Armadale (C)","2004-06-01",0,0
"241","Armadale (C)","2004-07-01",0,0
"242","Armadale (C)","2004-08-01",0,0
"243","Armadale (C)","2004-09-01",0,0
"244","Armadale (C)","2004-10-01",0,0
"245","Armadale (C)","2004-11-01",0,0
"246","Armadale (C)","2004-12-01",0.14,1
"247","Armadale (C)","2005-01-01",0,0
"248","Armadale (C)","2005-02-01",0.08,1
"249","Armadale (C)","2005-03-01",0,0
"250","Armadale (C)","2005-04-01",0,0
"251","Armadale (C)","2005-05-01",0,0
"252","Armadale (C)","2005-06-01",0,0
"253","Armadale (C)","2005-07-01",0,0
"254","Armadale (C)","2005-08-01",0,0
"255","Armadale (C)","2005-09-01",0,0
"256","Armadale (C)","2005-10-01",0,0
"257","Armadale (C)","2005-11-01",2.1,1
"258","Armadale (C)","2005-12-01",0,0
"259","Armadale (C)","2006-01-01",0,0
"260","Armadale (C)","2006-02-01",0,0
"261","Armadale (C)","2006-03-01",0,0
"262","Armadale (C)","2006-04-01",0,0
"263","Armadale (C)","2006-05-01",0,0
"264","Armadale (C)","2006-06-01",0,0
"265","Armadale (C)","2006-07-01",0,0
"266","Armadale (C)","2006-08-01",0,0
"267","Armadale (C)","2006-09-01",0,0
"268","Armadale (C)","2006-10-01",0,0
"269","Armadale (C)","2006-11-01",0,0
"270","Armadale (C)","2006-12-01",0,0
"271","Armadale (C)","2007-01-01",0,0
"272","Armadale (C)","2007-02-01",0,0
"273","Armadale (C)","2007-03-01",0,0
"274","Armadale (C)","2007-04-01",0,0
"275","Armadale (C)","2007-05-01",0,0
"276","Armadale (C)","2007-06-01",3.2,1
"277","Armadale (C)","2007-07-01",0,0
"278","Armadale (C)","2007-08-01",0,0
"279","Armadale (C)","2007-09-01",5.55,3
"280","Armadale (C)","2007-10-01",3.185,2
"281","Armadale (C)","2007-11-01",2.64,2
"282","Armadale (C)","2007-12-01",1.44,1
"283","Armadale (C)","2008-01-01",1.05,1
"284","Armadale (C)","2008-02-01",0,0
"285","Armadale (C)","2008-03-01",5.88,3
"286","Armadale (C)","2008-04-01",2.2,3
"287","Armadale (C)","2008-05-01",8.122,7
"288","Armadale (C)","2008-06-01",6.68,5
"289","Armadale (C)","2008-07-01",8.61,6
"290","Armadale (C)","2008-08-01",12.177,10
"291","Armadale (C)","2008-09-01",9.72,8
"292","Armadale (C)","2008-10-01",11.75,8
"293","Armadale (C)","2008-11-01",5.22,5
"294","Armadale (C)","2008-12-01",21.115,16
"295","Armadale (C)","2009-01-01",16.125,15
"296","Armadale (C)","2009-02-01",20.055,17
"297","Armadale (C)","2009-03-01",25.482,22
"298","Armadale (C)","2009-04-01",35.702,30
"299","Armadale (C)","2009-05-01",36.225,33
"300","Armadale (C)","2009-06-01",46.55,36
"301","Armadale (C)","2009-07-01",50.045,41
"302","Armadale (C)","2009-08-01",28.065,24
"303","Armadale (C)","2009-09-01",24.585,21
"304","Armadale (C)","2009-10-01",41.13,32
"305","Armadale (C)","2009-11-01",45.665,39
"306","Armadale (C)","2009-12-01",78.03,63
"307","Armadale (C)","2010-01-01",70.69,52
"308","Armadale (C)","2010-02-01",55.115,42
"309","Armadale (C)","2010-03-01",96.035,67
"310","Armadale (C)","2010-04-01",79.64,51
"311","Armadale (C)","2010-05-01",104.125,68
"312","Armadale (C)","2010-06-01",100.619,56
"313","Armadale (C)","2010-07-01",118.51,62
"314","Armadale (C)","2010-08-01",120.005,58
"315","Armadale (C)","2010-09-01",104.635,48
"316","Armadale (C)","2010-10-01",91.41,52
"317","Armadale (C)","2010-11-01",109.43,59
"318","Armadale (C)","2010-12-01",95.89,47
"319","Armadale (C)","2011-01-01",183.315,99
"320","Armadale (C)","2011-02-01",177.804,96
"321","Armadale (C)","2011-03-01",224.48,112
"322","Armadale (C)","2011-04-01",223.269,116
"323","Armadale (C)","2011-05-01",433.349,200
"324","Armadale (C)","2011-06-01",587.217,255
"325","Armadale (C)","2011-07-01",303.629,124
"326","Armadale (C)","2011-08-01",354.025,147
"327","Armadale (C)","2011-09-01",313.89,122
"328","Armadale (C)","2011-10-01",120.955,65
"329","Armadale (C)","2011-11-01",167.715,88
"330","Armadale (C)","2011-12-01",145.145,78
"331","Armadale (C)","2012-01-01",183.315,99
"332","Armadale (C)","2012-02-01",177.804,96
"333","Armadale (C)","2012-03-01",224.48,112
"334","Armadale (C)","2012-04-01",223.269,116
"335","Armadale (C)","2012-05-01",433.349,200
"336","Armadale (C)","2012-06-01",587.217,255
"337","Armadale (C)","2012-07-01",303.629,124
"338","Armadale (C)","2012-08-01",354.025,147
"339","Armadale (C)","2012-09-01",313.89,122
"340","Armadale (C)","2012-10-01",120.955,65
"341","Armadale (C)","2012-11-01",167.715,88
"342","Armadale (C)","2012-12-01",145.145,78
"343","Armadale (C)","2013-01-01",220.27,85
"344","Armadale (C)","2013-02-01",197.914,77
"345","Armadale (C)","2013-03-01",211.44,76
"346","Armadale (C)","2013-04-01",325.795,104
"347","Armadale (C)","2013-05-01",238.192,87
"348","Armadale (C)","2013-06-01",204.7,68
"349","Armadale (C)","2013-07-01",169.03,61
"350","Armadale (C)","2013-08-01",219.77,62
"351","Armadale (C)","2013-09-01",218.42,60
"352","Armadale (C)","2013-10-01",228.153,66
"353","Armadale (C)","2013-11-01",193.63,68
"354","Armadale (C)","2013-12-01",209.887,60
"355","Armadale (C)","2014-01-01",273.81,75
"356","Armadale (C)","2014-02-01",222.492,71
"357","Armadale (C)","2014-03-01",310.232,87
"358","Armadale (C)","2014-04-01",268.02,79
"359","Armadale (C)","2014-05-01",315.51,77
"360","Armadale (C)","2014-06-01",268.4,53
"361","Armadale (C)","2014-07-01",367.863,90
"362","Armadale (C)","2014-08-01",298.835,82
"363","Armadale (C)","2014-09-01",442.555,113
"364","Armadale (C)","2014-10-01",358.134,99
"365","Armadale (C)","2014-11-01",372.03,92
"366","Armadale (C)","2014-12-01",375.122,84
"367","Armadale (C)","2015-01-01",276.95,79
"368","Armadale (C)","2015-02-01",226.925,63
"369","Armadale (C)","2015-03-01",293.005,80
"370","Armadale (C)","2015-04-01",362.11,73
"371","Armadale (C)","2015-05-01",226.55,59
"372","Armadale (C)","2015-06-01",356.37,76
"373","Armadale (C)","2015-07-01",233.935,57
"374","Armadale (C)","2015-08-01",316.57,77
"375","Armadale (C)","2015-09-01",324.925,68
"376","Armadale (C)","2015-10-01",326.672,76
"377","Armadale (C)","2015-11-01",425.415,88
"378","Armadale (C)","2015-12-01",314.494,73
"379","Armadale (C)","2016-01-01",415.23,86
"380","Armadale (C)","2016-02-01",405.285,92
"381","Armadale (C)","2016-03-01",438.88,83
"382","Armadale (C)","2016-04-01",398.255,70
"383","Armadale (C)","2016-05-01",339.81,72
"384","Armadale (C)","2016-06-01",468.55,98
"385","Armadale (C)","2016-07-01",556.515,96
"386","Armadale (C)","2016-08-01",588.11,99
"387","Armadale (C)","2016-09-01",624.135,114
"388","Armadale (C)","2016-10-01",364.118,76
"389","Armadale (C)","2016-11-01",541.225,100
"390","Armadale (C)","2016-12-01",861.364,119
"391","Armadale (C)","2017-01-01",437.385,88
"392","Armadale (C)","2017-02-01",574.384,116
"393","Armadale (C)","2017-03-01",591.298,114
"394","Armadale (C)","2017-04-01",603.893,97
"395","Armadale (C)","2017-05-01",635.078,115
"396","Armadale (C)","2017-06-01",800.817,132
"397","Armadale (C)","2017-07-01",666.427,134
"398","Armadale (C)","2017-08-01",768.455,132
"399","Armadale (C)","2017-09-01",518.371,91
"400","Armadale (C)","2017-10-01",639.385,114
"401","Armadale (C)","2017-11-01",519.24,94
"402","Armadale (C)","2017-12-01",1054.518,185
"403","Armadale (C)","2018-01-01",661.975,113
"404","Armadale (C)","2018-02-01",643.755,97
"405","Armadale (C)","2018-03-01",526.252,91
"406","Armadale (C)","2018-04-01",675,121
"407","Armadale (C)","2018-05-01",757.13,147
"408","Armadale (C)","2018-06-01",559.7,96
"409","Armadale (C)","2018-07-01",717.595,124
"410","Armadale (C)","2018-08-01",812.1,131
"411","Armadale (C)","2018-09-01",853.344,149
"412","Armadale (C)","2018-10-01",868.58,142
"413","Armadale (C)","2018-11-01",998.94,148
"414","Armadale (C)","2018-12-01",NA,203
"415","Armadale (C)","2019-01-01",824.46,156
"416","Armadale (C)","2019-02-01",790.27,125
"417","Armadale (C)","2019-03-01",799.5,126
"418","Armadale (C)","2019-04-01",785.355,118
"419","Armadale (C)","2019-05-01",1112.79,196
"420","Armadale (C)","2019-06-01",688.47,113
"421","Armadale (C)","2019-07-01",1099.92,167
"422","Armadale (C)","2019-08-01",940.753,147
"423","Armadale (C)","2019-09-01",809.69,128
"424","Armadale (C)","2019-10-01",1337.375,183
"425","Armadale (C)","2019-11-01",1168.31,202
"426","Armadale (C)","2019-12-01",1220.345,180
"427","Augusta-Margaret River (S)","2001-04-01",0,0
"428","Augusta-Margaret River (S)","2001-05-01",0,0
"429","Augusta-Margaret River (S)","2001-06-01",0,0
"430","Augusta-Margaret River (S)","2001-07-01",0,0
"431","Augusta-Margaret River (S)","2001-08-01",0,0
"432","Augusta-Margaret River (S)","2001-09-01",0,0
"433","Augusta-Margaret River (S)","2001-10-01",0,0
"434","Augusta-Margaret River (S)","2001-11-01",0,0
"435","Augusta-Margaret River (S)","2001-12-01",0,0
"436","Augusta-Margaret River (S)","2002-01-01",0,0
"437","Augusta-Margaret River (S)","2002-02-01",0,0
"438","Augusta-Margaret River (S)","2002-03-01",0,0
"439","Augusta-Margaret River (S)","2002-04-01",0,0
"440","Augusta-Margaret River (S)","2002-05-01",0,0
"441","Augusta-Margaret River (S)","2002-06-01",0,0
"442","Augusta-Margaret River (S)","2002-07-01",0,0
"443","Augusta-Margaret River (S)","2002-08-01",0,0
"444","Augusta-Margaret River (S)","2002-09-01",0,0
"445","Augusta-Margaret River (S)","2002-10-01",0,0
"446","Augusta-Margaret River (S)","2002-11-01",0,0
"447","Augusta-Margaret River (S)","2002-12-01",0,0
"448","Augusta-Margaret River (S)","2003-03-01",2.25,1
"449","Augusta-Margaret River (S)","2004-01-01",0,0
"450","Augusta-Margaret River (S)","2004-02-01",0,0
"451","Augusta-Margaret River (S)","2004-03-01",0,0
"452","Augusta-Margaret River (S)","2004-04-01",0,0
"453","Augusta-Margaret River (S)","2004-05-01",0,0
"454","Augusta-Margaret River (S)","2004-06-01",0,0
"455","Augusta-Margaret River (S)","2004-07-01",0,0
"456","Augusta-Margaret River (S)","2004-08-01",0,0
"457","Augusta-Margaret River (S)","2004-09-01",0,0
"458","Augusta-Margaret River (S)","2004-10-01",0,0
"459","Augusta-Margaret River (S)","2004-11-01",0,0
"460","Augusta-Margaret River (S)","2004-12-01",0,0
"461","Augusta-Margaret River (S)","2005-01-01",0,0
"462","Augusta-Margaret River (S)","2005-02-01",0.16,2
"463","Augusta-Margaret River (S)","2005-03-01",0,0
"464","Augusta-Margaret River (S)","2005-04-01",0,0
"465","Augusta-Margaret River (S)","2005-05-01",0,0
"466","Augusta-Margaret River (S)","2005-06-01",0,0
"467","Augusta-Margaret River (S)","2005-07-01",0,0
"468","Augusta-Margaret River (S)","2005-08-01",0,0
"469","Augusta-Margaret River (S)","2005-09-01",0,0
"470","Augusta-Margaret River (S)","2005-10-01",0,0
"471","Augusta-Margaret River (S)","2005-11-01",0,0
"472","Augusta-Margaret River (S)","2005-12-01",0,0
"473","Augusta-Margaret River (S)","2006-01-01",0,0
"474","Augusta-Margaret River (S)","2006-02-01",0,0
"475","Augusta-Margaret River (S)","2006-03-01",0,0
"476","Augusta-Margaret River (S)","2006-04-01",0,0
"477","Augusta-Margaret River (S)","2006-05-01",0,0
"478","Augusta-Margaret River (S)","2006-06-01",0,0
"479","Augusta-Margaret River (S)","2006-07-01",0,0
"480","Augusta-Margaret River (S)","2006-08-01",0,0
"481","Augusta-Margaret River (S)","2006-09-01",0,0
"482","Augusta-Margaret River (S)","2006-10-01",0,0
"483","Augusta-Margaret River (S)","2006-11-01",0,0
"484","Augusta-Margaret River (S)","2006-12-01",0,0
"485","Augusta-Margaret River (S)","2007-01-01",1.575,1
"486","Augusta-Margaret River (S)","2007-02-01",0,0
"487","Augusta-Margaret River (S)","2007-03-01",0,0
"488","Augusta-Margaret River (S)","2007-04-01",2.79,1
"489","Augusta-Margaret River (S)","2007-05-01",0,0
"490","Augusta-Margaret River (S)","2007-06-01",1.68,1
"491","Augusta-Margaret River (S)","2007-07-01",1.68,1
"492","Augusta-Margaret River (S)","2007-08-01",2.1,1
"493","Augusta-Margaret River (S)","2007-09-01",5.67,3
"494","Augusta-Margaret River (S)","2007-10-01",0,0
"495","Augusta-Margaret River (S)","2007-11-01",0,0
"496","Augusta-Margaret River (S)","2007-12-01",7.5,3
"497","Augusta-Margaret River (S)","2008-01-01",4.2,2
"498","Augusta-Margaret River (S)","2008-02-01",2.625,2
"499","Augusta-Margaret River (S)","2008-03-01",0,0
"500","Augusta-Margaret River (S)","2008-04-01",3.01,1
"501","Augusta-Margaret River (S)","2008-05-01",16.2,4
"502","Augusta-Margaret River (S)","2008-06-01",7.46,3
"503","Augusta-Margaret River (S)","2008-07-01",8.98,4
"504","Augusta-Margaret River (S)","2008-08-01",6.194,2
"505","Augusta-Margaret River (S)","2008-09-01",8,2
"506","Augusta-Margaret River (S)","2008-10-01",9.45,7
"507","Augusta-Margaret River (S)","2008-11-01",9.53,3
"508","Augusta-Margaret River (S)","2008-12-01",15.31,5
"509","Augusta-Margaret River (S)","2009-01-01",3.17,3
"510","Augusta-Margaret River (S)","2009-02-01",3.01,1
"511","Augusta-Margaret River (S)","2009-03-01",8.125,3
"512","Augusta-Margaret River (S)","2009-04-01",4.675,2
"513","Augusta-Margaret River (S)","2009-05-01",34.975,4
"514","Augusta-Margaret River (S)","2009-06-01",56.385,23
"515","Augusta-Margaret River (S)","2009-07-01",14.565,4
"516","Augusta-Margaret River (S)","2009-08-01",3.96,2
"517","Augusta-Margaret River (S)","2009-09-01",3.99,2
"518","Augusta-Margaret River (S)","2009-10-01",19.018,4
"519","Augusta-Margaret River (S)","2009-11-01",13.65,7
"520","Augusta-Margaret River (S)","2009-12-01",28.122,16
"521","Augusta-Margaret River (S)","2010-01-01",6.47,5
"522","Augusta-Margaret River (S)","2010-02-01",26.325,10
"523","Augusta-Margaret River (S)","2010-03-01",25.39,14
"524","Augusta-Margaret River (S)","2010-04-01",12.785,7
"525","Augusta-Margaret River (S)","2010-05-01",11.91,6
"526","Augusta-Margaret River (S)","2010-06-01",23.06,12
"527","Augusta-Margaret River (S)","2010-07-01",15.29,7
"528","Augusta-Margaret River (S)","2010-08-01",24.24,12
"529","Augusta-Margaret River (S)","2010-09-01",20.23,9
"530","Augusta-Margaret River (S)","2010-10-01",22.71,7
"531","Augusta-Margaret River (S)","2010-11-01",17.77,8
"532","Augusta-Margaret River (S)","2010-12-01",7.89,3
"533","Augusta-Margaret River (S)","2011-01-01",44.91,12
"534","Augusta-Margaret River (S)","2011-02-01",41.97,20
"535","Augusta-Margaret River (S)","2011-03-01",71.925,20
"536","Augusta-Margaret River (S)","2011-04-01",68.15,27
"537","Augusta-Margaret River (S)","2011-05-01",92.685,36
"538","Augusta-Margaret River (S)","2011-06-01",167.435,69
"539","Augusta-Margaret River (S)","2011-07-01",71.59,30
"540","Augusta-Margaret River (S)","2011-08-01",91.484,34
"541","Augusta-Margaret River (S)","2011-09-01",117,46
"542","Augusta-Margaret River (S)","2011-10-01",28.71,13
"543","Augusta-Margaret River (S)","2011-11-01",35.853,20
"544","Augusta-Margaret River (S)","2011-12-01",16.26,9
"545","Augusta-Margaret River (S)","2012-01-01",44.91,12
"546","Augusta-Margaret River (S)","2012-02-01",41.97,20
"547","Augusta-Margaret River (S)","2012-03-01",71.925,20
"548","Augusta-Margaret River (S)","2012-04-01",68.15,27
"549","Augusta-Margaret River (S)","2012-05-01",92.685,36
"550","Augusta-Margaret River (S)","2012-06-01",167.435,69
"551","Augusta-Margaret River (S)","2012-07-01",71.59,30
"552","Augusta-Margaret River (S)","2012-08-01",91.484,34
"553","Augusta-Margaret River (S)","2012-09-01",117,46
"554","Augusta-Margaret River (S)","2012-10-01",28.71,13
"555","Augusta-Margaret River (S)","2012-11-01",35.853,20
"556","Augusta-Margaret River (S)","2012-12-01",16.26,9
"557","Augusta-Margaret River (S)","2013-01-01",22.99,8
"558","Augusta-Margaret River (S)","2013-02-01",70.948,15
"559","Augusta-Margaret River (S)","2013-03-01",53.24,12
"560","Augusta-Margaret River (S)","2013-04-01",13.01,7
"561","Augusta-Margaret River (S)","2013-05-01",13.72,6
"562","Augusta-Margaret River (S)","2013-06-01",23.879,9
"563","Augusta-Margaret River (S)","2013-07-01",5,1
"564","Augusta-Margaret River (S)","2013-08-01",3.5,2
"565","Augusta-Margaret River (S)","2013-09-01",20.549,6
"566","Augusta-Margaret River (S)","2013-10-01",63.12,11
"567","Augusta-Margaret River (S)","2013-11-01",30.23,9
"568","Augusta-Margaret River (S)","2013-12-01",41.33,5
"569","Augusta-Margaret River (S)","2014-01-01",53.25,11
"570","Augusta-Margaret River (S)","2014-02-01",30.46,7
