"LGA","Latitude","Longitude"
"Upper Hunter Shire",-31.9697886032494,150.727421045103
"Upper Lachlan Shire",-34.4173855172675,149.455787226615
"Uralla",-30.5074392677088,151.311741887095
"Wagga Wagga",-35.1965106555524,147.365547330361
"Walcha",-31.1636810873061,151.784683539424
"Walgett",-29.8157850354663,148.194861207111
"Warren",-31.3239159170681,147.678610174369
"Warrumbungle Shire",-31.4613749280813,149.404714886864
"Waverley",-33.8900372110602,151.266853633426
"Weddin",-33.8719882163422,148.011097727012
"Wentworth",-33.5700696930891,142.244757169728
"Willoughby",-33.8010860271293,151.196375997251
"Wingecarribee",-34.4768396498965,150.356275384942
"Wollondilly",-34.1019106275663,150.443683230883
"Wollongong",-34.3687202034196,150.837336676692
"Woollahra",-33.8716818246851,151.257401265714
"Yass Valley",-34.953987790551,148.884805022091
"Unincorporated NSW",-30.643017407225,142.225479974589
"No usual address (NSW)",NA,NA
"Migratory - Offshore - Shipping (NSW)",NA,NA
"Alpine",-36.8530604418661,146.973868916843
"Ararat",-37.4724631972218,142.843324645136
"Ballarat",-37.4927581332785,143.781369673156
"Banyule",-37.7304232226434,145.085157609852
"Bass Coast",-38.5072634596276,145.557976181445
"Baw Baw",-37.983713046092,146.131939655009
"Bayside (Vic.)",-37.9418167693763,145.018150188054
"Benalla",-36.586648046274,146.023684017662
"Boroondara",-37.8192680832084,145.063092454875
"Brimbank",-37.747521930369,144.803313807338
"Buloke",-35.9112745745403,143.003994474157
"Campaspe",-36.3448250535176,144.715864586576
"Cardinia",-38.0828777011962,145.572676069467
"Casey",-38.1042585794735,145.309006463727
"Central Goldfields",-37.0069835954907,143.713647892574
"Colac Otway",-38.4514788838098,143.59544520203
"Corangamite",-38.2035424377175,143.19922187487
"Darebin",-37.7334389473644,145.014341798009
"East Gippsland",-37.3785254369084,148.2908398303
"Frankston",-38.1345828429603,145.173810432244
"Gannawarra",-35.7516452460323,143.80389031659
"Glen Eira",-37.9011897546451,145.042601851201
"Glenelg",-37.8698453304133,141.385104182697
"Golden Plains",-37.8820148267302,143.842089882621
"Greater Bendigo",-36.7342454098137,144.422544234423
"Greater Dandenong",-38.0055592529303,145.190008128251
"Greater Geelong",-38.06876808044,144.416978925189
"Greater Shepparton",-36.3969633544355,145.386278589556
"Hepburn",-37.3169923507391,144.057564222591
"Hindmarsh",-36.0507533299792,141.752416792786
"Hobsons Bay",-37.8547097453995,144.829774296049
"Horsham",-36.825453905092,142.090660864393
"Hume",-37.5891573497691,144.824493737518
"Indigo",-36.2255206880644,146.722412567847
"Kingston (Vic.)",-37.9885506492843,145.105063063374
"Knox",-37.8889603376608,145.258678092491
"Latrobe (Vic.)",-38.2744073038091,146.438298623587
"Loddon",-36.3633033944791,143.867341750385
"Macedon Ranges",-37.335576001555,144.616545125713
"Manningham",-37.7615839410162,145.188582418698
"Mansfield",-37.2001405583286,146.2063186452
"Maribyrnong",-37.7952518233832,144.877777940444
"Maroondah",-37.8048564705295,145.265268491565
"Melbourne",-37.8106397485384,144.943771819896
"Melton",-37.6929550205808,144.625976643152
"Mildura",-34.8679720999625,141.6830517379
"Mitchell",-37.1373265987703,145.001535187776
"Moira",-36.0622149037129,145.549905663712
"Monash",-37.8971272706191,145.144035317616
"Moonee Valley",-37.7494845476394,144.895764609765
"Moorabool",-37.632720126225,144.215680382768
"Moreland",-37.7298993512892,144.948888299956
"Mornington Peninsula",-38.3416574499101,145.035434865548
"Mount Alexander",-37.050817834732,144.192869248222
"Moyne",-38.122492199777,142.490233496752
"Murrindindi",-37.3108740774678,145.629924630473
"Nillumbik",-37.6228724420122,145.236841434165
"Northern Grampians",-36.8444095902681,142.92060446659
"Port Phillip",-37.8518939514883,144.966020011113
"Pyrenees",-37.3157893155829,143.374985695753
"Queenscliffe",-38.2642681030239,144.647730809994
"South Gippsland",-38.6210125110952,146.075295359752
"Southern Grampians",-37.5362053949226,142.032706952803
"Stonnington",-37.8579419776162,145.033653829996
"Strathbogie",-36.7604279946939,145.435130539652
"Surf Coast",-38.312189929925,144.053229858267
"Swan Hill",-35.1196170881579,143.124311996789
"Towong",-36.3541664632536,147.598690867413
"Wangaratta",-36.5874591686952,146.428066426065
"Warrnambool",-38.3714284974567,142.511788220753
"Wellington",-37.8923673060437,146.919778697598
"West Wimmera",-36.6733609848852,141.278746433929
"Whitehorse",-37.8302356793073,145.155063956769
"Whittlesea",-37.5471478136752,145.077759714147
"Wodonga",-36.1504928406865,146.882576267844
"Wyndham",-37.8866270808852,144.618257117709
"Yarra",-37.8022652163212,144.99855311581
"Yarra Ranges",-37.7143767079117,145.697304493421
"Yarriambiack",-35.9881833815939,142.418261607123
"Unincorporated Vic",-37.8967717019801,145.903844559617
"No usual address (Vic.)",NA,NA
"Migratory - Offshore - Shipping (Vic.)",NA,NA
"Aurukun",-13.6086437661402,141.828686408066
"Balonne",-28.3160189947467,148.117459492741
"Banana",-24.9332120584565,149.941121554066
"Barcaldine",-23.1124626895433,145.689770090708
"Barcoo",-25.1295068251697,142.271330173348
"Blackall Tambo",-24.7854163634653,145.790619401566
"Boulia",-22.4793611178827,139.244206552587
"Brisbane",-27.4377776470991,153.039290360148
"Bulloo",-28.021555099905,142.591616022842
"Bundaberg",-24.9677664555068,152.035414556669
"Burdekin",-19.8232966698281,147.2432323141
"Burke",-18.0295490018269,138.9454527327
"Cairns",-17.1599902814996,145.818863242791
"Carpentaria",-17.4387483388117,141.370781192538
"Cassowary Coast",-17.959145083635,145.92580005817
"Central Highlands (Qld)",-24.0305606986636,148.415958499859
"Charters Towers",-20.1452051778943,145.785387792757
"Cherbourg",-26.2887963173647,151.935998648582
"Cloncurry",-20.8124890100758,140.265628256609
"Cook",-14.2298475779202,143.253050533919
"Croydon",-18.5528629074616,142.214165489559
"Diamantina",-24.6295285553239,139.734997875875
"Doomadgee",-17.596059202762,138.781211776521
"Douglas",-16.2218937260948,145.286614801019
"Etheridge",-18.5039294751737,143.658776632467
"Flinders (Qld)",-20.9719486874666,144.320729260532
"Fraser Coast",-25.5277270038598,152.677558941812
"Gladstone",-24.1760106848473,151.306031323997
"Gold Coast",-27.9802780054257,153.318453718059
"Goondiwindi",-28.3751392771373,150.339433974376
"Gympie",-26.1470863099904,152.463540248683
"Hinchinbrook",-18.6618220334395,146.047556412086
"Hope Vale",-15.1676208984156,145.191600459335
"Ipswich",-27.6656339718755,152.667518793388
"Isaac",-22.2390424425926,147.891733503366
"Kowanyama",-15.3194845807503,141.810644453659
"Livingstone",-22.7958568930186,150.193045384222
"Lockhart River",-13.0052206425641,143.2401298108
"Lockyer Valley",-27.6425765056436,152.240506676403
"Logan",-27.7623693036748,153.040266625612
"Longreach",-23.7157468875656,143.958546829462
"Mackay",-21.1388619216878,148.803542149284
"McKinlay",-20.5309443393473,141.587620023911
"Mapoon",-12.1416929673772,141.919765031337
"Maranoa",-26.5413720152018,148.2871277104
"Mareeba",-16.9852910174897,143.954616450883
"Moreton Bay",-27.1178372133986,152.883079309884
"Mornington",-16.6316821854745,139.401349157029
"Mount Isa",-19.9517204879836,138.781369553975
"Murweh",-26.1876752931273,146.491654184206
"Napranum",-12.5158097257245,142.112380859147
"Noosa",-26.3248039676712,152.945610822342
"North Burnett",-25.3547070719085,151.203728878507
"Northern Peninsula Area",-11.0048656961519,142.312965134018
"Palm Island",-18.7313458231575,146.600251145296
"Paroo",-28.0720185302452,145.771342219116
"Pormpuraaw",-14.7192013999101,141.807285870689
"Quilpie",-26.3485358009494,143.89442318193
"Redland",-27.5685674685218,153.36088743981
"Richmond",-20.5390566637758,142.90218573109
"Rockhampton",-23.4410984798166,150.217931687554
"Scenic Rim",-28.0622931808487,152.796065589646
"Somerset",-27.0082987208096,152.42491146523
"South Burnett",-26.404894482298,151.64655823161
"Southern Downs",-28.4048491955914,151.886457309929
"Sunshine Coast",-26.6960913685033,152.898306911591
"Tablelands",-17.9301871223843,145.33091062127
"Toowoomba",-27.5815263773176,151.535079145884
"Torres",-10.7308746487269,142.412262813866
"Torres Strait Island",-9.85874871545938,142.365903416289
"Townsville",-19.3906931262795,146.711347193869
"Weipa",-12.639628448311,141.879777133526
"Western Downs",-26.839792685307,150.347601334078
"Whitsunday",-20.7001529599149,147.726077549955
"Winton",-22.5386507098455,142.427128768206
"Woorabinda",-23.9430239001831,149.52619250297
"Wujal Wujal",-15.9682894413665,145.3132013132
"Yarrabah",-16.9944902449811,145.897161821555
"No usual address (Qld)",NA,NA
"Migratory - Offshore - Shipping (Qld)",NA,NA
"Adelaide",-34.9219683102509,138.598919108061
"Adelaide Hills",-34.8927373333514,138.836330956087
"Adelaide Plains",-34.4805624916275,138.454616657493
"Alexandrina",-35.3518725302458,138.878390371947
"Anangu Pitjantjatjara Yunkunytjatjara",-27.0808255008253,131.204486873188
"Barossa",-34.6209897111651,139.001702078589
"Barunga West",-33.798695435363,137.956305612189
"Berri Barmera",-34.2657921686668,140.488846400486
"Burnside",-34.9399608858177,138.65987555714
"Campbelltown (SA)",-34.8837113674822,138.682243414691
"Ceduna",-32.1023158530113,133.871748780715
"Charles Sturt",-34.8903491672529,138.523616950308
"Clare and Gilbert Valleys",-34.0036794226314,138.735821482322
"Cleve",-33.650082200595,136.284794481093
"Coober Pedy",-29.0158452355166,134.752357623748
"Copper Coast",-33.9833524203578,137.728954738563
"Elliston",-33.5614959659057,135.344022583332
"Flinders Ranges",-32.0753187197599,138.301610293303
"Franklin Harbour",-33.5342323058251,136.964608331016
"Gawler",-34.6221108429282,138.729894991624
"Goyder",-33.6448208734758,139.073779283398
"Grant",-37.8460163136415,140.724815837698
"Holdfast Bay",-35.0011251712292,138.52131628593
"Kangaroo Island",-35.8282348405115,137.239978313423
"Karoonda East Murray",-34.9502690228729,140.020172140946
"Kimba",-33.0026116447181,136.143067882783
"Kingston (SA)",-36.6430617820478,140.025506775103
"Light",-34.4110432594079,138.846648122264
"Lower Eyre Peninsula",-34.4116436732606,135.596597887966
"Loxton Waikerie",-34.5080862228433,140.350292067296
"Maralinga Tjarutja",-29.3506605554587,130.963693872962
"Marion",-35.0324547794401,138.539715377196
"Mid Murray",-34.4489528289268,139.462035067512
"Mitcham",-35.0038599621358,138.621758384931
"Mount Barker",-35.0857705159881,138.875123137849
"Mount Gambier",-37.825331087594,140.78168698681
"Mount Remarkable",-32.7579264639972,138.205182203965
"Murray Bridge",-35.159213628328,139.301861737186
"Naracoorte Lucindale",-36.9771284458513,140.54756675068
"Northern Areas",-33.2861123578347,138.511422209877
"Norwood Payneham and St Peters",-34.9075592299325,138.636457591955
"Onkaparinga",-35.1786205803261,138.568922167662
"Orroroo Carrieton",-32.5202640875519,138.639386059983
"Peterborough",-32.864004708847,139.059750119594
"Playford",-34.688906420026,138.662954176093
"Port Adelaide Enfield",-34.8407010064745,138.561492233068
"Port Augusta",-32.5909747137325,137.751203583934
"Port Lincoln",-34.7292039793823,135.851133152517
"Port Pirie",-33.3766846602578,138.105702153684
"Prospect",-34.8839833082038,138.59794305521
"Renmark Paringa",-34.1822038474263,140.814182122669
"Robe",-37.1876481295396,139.979354538967
"Roxby Downs",-30.554359713507,136.881187004827
"Salisbury",-34.7726361194564,138.611302971452
"Southern Mallee",-35.3936326693147,140.574513471506
"Streaky Bay",-32.7084396605782,134.564267452158
"Tatiara",-36.2274353964421,140.584564651392
"Tea Tree Gully",-34.8051371243995,138.718058057539
"Coorong",-35.713388119462,139.760680339828
"Tumby Bay",-34.1791430587277,136.019773830268
"Unley",-34.9547844096083,138.604039478898
"Victor Harbor",-35.5127370464318,138.546198415137
"Wakefield",-33.9909987596794,138.356295046669
"Walkerville",-34.8927721342693,138.617117609265
"Wattle Range",-37.4704348523104,140.51906129018
"West Torrens",-34.9414162243987,138.543821175309
"Whyalla",-33.0371899465684,137.49471242872
"Wudinna",-33.0285871828656,135.31407416113
"Yankalilla",-35.5185363377623,138.337262105948
"Yorke Peninsula",-34.6825623102404,137.56159957441
"Unincorporated SA",-29.5763235203447,136.779173680945
"No usual address (SA)",NA,NA
"Migratory - Offshore - Shipping (SA)",NA,NA
"Albany",-34.7391443591271,118.184089837795
"Armadale",-32.1675393880921,116.136967653597
"Ashburton",-22.4949464340259,116.726830607052
"Augusta Margaret River",-34.0306948173934,115.227945645696
"Bassendean",-31.9038335105358,115.94523200137
"Bayswater",-31.9037709325559,115.907827585533
"Belmont",-31.9562190820322,115.948327560856
"Beverley",-32.1748303267166,116.796819341451
"Boddington",-32.8161216478224,116.399830075423
"Boyup Brook",-33.8914884448565,116.52365272627
"Bridgetown-Greenbushes",-34.0037143736152,116.190859502454
"Brookton",-32.3621821959641,117.00327982735
"Broome",-18.6675103174556,122.466570522465
"Broomehill-Tambellup",-34.0024200239152,117.661159278003
"Bruce Rock",-31.9525208066873,118.028790111556
"Bunbury",-33.351629995844,115.664406004463
"Busselton",-33.7185829499718,115.34882978197
"Cambridge",-31.9362664322706,115.78641009959
"Canning",-32.0368732809587,115.916371429465
"Capel",-33.5323001069704,115.635748900289
"Carnamah",-29.7735830575604,115.578213257947
"Carnarvon",-24.3457708153418,114.390970674033
"Chapman Valley",-28.3221471051049,115.059654374977
"Chittering",-31.3741627275339,116.07854317288
"Christmas Island",-10.4853422117601,105.636482000997
"Claremont",-31.9801354808243,115.779986861794
"Cockburn",-32.1142885526301,115.792814382234
"Cocos Islands",-12.1345318869857,96.8622630648893
"Collie",-33.2834099590925,116.211686763435
"Coolgardie",-31.1861858679753,120.961877396308
"Coorow",-30.0220665620913,115.759370283864
"Corrigin",-32.3583580206733,117.79903984613
"Cottesloe",-31.9939892099311,115.758507279182
"Cranbrook",-34.3151703548864,117.285984337255
"Cuballing",-32.7353916302038,117.15919687778
"Cue",-27.3107779525624,117.93952753574
"Cunderdin",-31.5994852548723,117.155684584004
"Dalwallinu",-30.1252485860749,116.945079039625
"Dandaragan",-30.5392969658227,115.505718683183
"Dardanup",-33.4154024753552,115.851886288838
"Denmark",-34.8905567711252,117.11888505593
"Derby-West Kimberley",-17.7883904091156,124.978452502343
"Donnybrook-Balingup",-33.6694775775225,115.973573819357
"Dowerin",-31.1073782961097,117.111317752306
"Dumbleyung",-33.2244635934844,117.964711533645
"Dundas",-32.030367116771,124.426145162646
"East Fremantle",-32.0379265509522,115.768178223403
"East Pilbara",-21.7833356989699,123.591153612757
"Esperance",-33.2242111169393,122.249123070152
"Exmouth",-22.5214289606516,114.166690968571
"Fremantle",-32.0574247313559,115.766135181457
"Gingin",-31.1914774644766,115.698966617611
"Gnowangerup",-34.0619348803145,118.288786513356
"Goomalling",-31.2426316935018,116.784771137559
"Gosnells",-32.0662170465057,115.992149568648
"Greater Geraldton",-28.5613799064662,115.498055447157
"Halls Creek",-19.2528233856465,127.618724858736
"Harvey",-33.1010522039661,115.91256850398
"Irwin",-29.3256722073882,115.091751818287
"Jerramungup",-34.0702026885884,119.101402314753
"Joondalup",-31.7834720051387,115.766698996514
"Kalamunda",-32.0122371964437,116.122739110096
"Kalgoorlie-Boulder",-30.7667358074151,125.048738509183
"Karratha",-21.0502964125308,117.036353159165
"Katanning",-33.6483177323454,117.684328986511
"Kellerberrin",-31.5821841984442,117.814591041597
"Kent",-33.5511501366399,118.572340475298
"Kojonup",-33.9074695048678,117.048084313131
"Kondinin",-32.4283316959856,119.184604709064
"Koorda",-30.5900320757791,117.425486950432
"Kulin",-32.7184536969683,118.576599420016
"Kwinana",-32.2276731067455,115.82867420475
"Lake Grace",-33.060651193893,119.287892013289
"Laverton",-27.9028786949655,125.401672245694
"Leonora",-28.2105154405226,121.142573764844
"Mandurah",-32.6336744620703,115.683029126285
"Manjimup",-34.5568415704039,116.32518047857
"Meekatharra",-25.1331602363646,118.866943087317
"Melville",-32.0474320269011,115.829394438743
"Menzies",-29.6081648574599,123.967439437313
"Merredin",-31.5151986702089,118.359209846949
"Mingenew",-29.1581059146395,115.484236080162
"Moora",-30.4978431178243,116.185427382741
"Morawa",-29.0668747495993,116.016998997235
"Mosman Park",-32.014790887033,115.765556378771
"Mount Magnet",-28.2375662559472,117.975900619565
"Mount Marshall",-30.1825513535922,117.962777515351
"Mukinbudin",-30.6294019983794,118.311256278944
"Mundaring",-31.8998968301401,116.251637774742
"Murchison",-26.7493537715507,116.301811384629
"Murray",-32.6236423758128,115.989496373948
"Nannup",-34.1282070278789,115.664033816574
"Narembeen",-32.047143483538,118.653882539693
"Narrogin",-32.9953949726595,117.262313515928
"Nedlands",-31.9724348977239,115.789586602871
"Ngaanyatjarraku",-25.0932784437369,126.835302388482
"Northam",-31.6859178917947,116.636225586229
"Northampton",-27.7525266308725,114.645846457364
"Nungarin",-31.1493902265157,118.208277185356
"Peppermint Grove",-31.9993197657421,115.767153507784
"Perenjori",-29.4435961490674,116.611676324358
"Perth",-31.9601584918864,115.846567644587
"Pingelly",-32.5200706553734,117.222080515473
"Plantagenet",-34.5977033734869,117.5621738971
"Port Hedland",-20.9275751242494,118.673799588497
"Quairading",-32.0047596957858,117.423410835482
"Ravensthorpe",-33.6161393138082,120.13915244229
"Rockingham",-32.3441352597588,115.788986893316
"Sandstone",-28.3333966053658,119.176455226965
"Serpentine-Jarrahdale",-32.3442253810389,116.034304658072
"Shark Bay",-26.5364802142159,114.52443313177
"South Perth",-31.9978413453021,115.870024726612
"Stirling",-31.8856797847991,115.819634394067
"Subiaco",-31.9520094269835,115.818730080458
"Swan",-31.7412437931795,116.067459203789
"Tammin",-31.6065166458834,117.49502346899
"Three Springs",-29.5257742965509,115.577436915435
"Toodyay",-31.4709892718544,116.380686122419
"Trayning",-31.143909652359,117.806956680879
"Upper Gascoyne",-24.7260210347349,116.356585871507
"Victoria Park",-31.979697887088,115.901480088928
"Victoria Plains",-31.014244181592,116.319411693121
"Vincent",-31.931276852968,115.852553197817
"Wagin",-33.2766553563545,117.370119132372
"Wandering",-32.5470973690798,116.58079821597
"Wanneroo",-31.6116726579936,115.76286626605
"Waroona",-32.8580112330775,115.920110099297
"West Arthur",-33.4571112158342,116.739544357857
"Westonia",-30.9666913749716,118.656190456819
"Wickepin",-32.806829665961,117.671619305028
"Williams",-33.0712909754525,116.72833649473
"Wiluna",-25.3094760037445,122.251511721268
"Wongan-Ballidu",-30.7170960837036,116.842805213739
"Woodanilling",-33.5337391269662,117.338223351144
"Wyalkatchem",-31.1865537677731,117.43530627742
"Wyndham-East Kimberley",-15.5588946114932,127.049674545771
"Yalgoo",-28.5624055206939,117.047501243872
"Yilgarn",-30.9531667946231,119.340180360112
"York",-31.9264146728716,116.735675037166
"No usual address (WA)",NA,NA
"Migratory - Offshore - Shipping (WA)",NA,NA
"Break O'Day",-41.4246407918863,148.050169216342
"Brighton",-42.7193387986621,147.260970044363
"Burnie",-41.2159732759641,145.806321637988
"Central Coast (Tas.)",-41.2811401109856,146.040136642695
"Central Highlands (Tas.)",-42.2118532864272,146.646011423064
"Circular Head",-41.0782213141344,145.01467599325
"Clarence",-42.83689315702,147.434076082208
"Derwent Valley",-42.8131785237851,146.421369999636
"Devonport",-41.2086767100668,146.311914814055
"Dorset",-41.0720363646155,147.7089421178
"Flinders (Tas.)",-40.1187052833613,148.09700227005
"George Town",-41.1021504247145,147.026042789999
"Glamorgan-Spring Bay",-42.2681407702187,147.966296688839
"Glenorchy",-42.8393096083546,147.219790140621
"Hobart",-42.897831047875,147.28761360829
"Huon Valley",-43.2513702984946,146.597617114507
"Kentish",-41.453961318864,146.183845173666
"King Island",-39.863556376976,143.985501573032
"Kingborough",-43.188695808257,147.262292925917
"Latrobe (Tas.)",-41.2439578592399,146.560038981929
"Launceston",-41.3605606225062,147.305600730851
"Meander Valley",-41.6267088531748,146.485624275556
"Northern Midlands",-41.8399709351351,147.459637893824
"Sorell",-42.7786662327992,147.696101162861
"Southern Midlands",-42.4343452293288,147.400836459065
"Tasman",-43.0545740315052,147.834709041095
"Waratah-Wynyard",-41.3827812009812,145.495738261861
"West Coast",-42.2956643812238,145.636315045563
"West Tamar",-41.2815427352722,146.864188985448
"No usual address (Tas.)",NA,NA
"Migratory - Offshore - Shipping (Tas.)",NA,NA
"Alice Springs",-23.7350473115417,133.854783915299
"Barkly",-19.4389340575323,135.077779052298
"Belyuen",-12.5381704159486,130.683189218294
"Central Desert",-21.4950185705335,132.382736314346
"Coomalie",-13.1256148675214,131.08283451138
"Darwin",-12.3983985124458,130.887021331536
"Darwin Waterfront Precinct",-12.4692645045621,130.84672088321
"East Arnhem",-12.9323537295138,135.745604424646
"Katherine",-14.6900570073379,132.194938858999
"Litchfield",-12.5373397116527,131.121820726793
"MacDonnell",-24.6530591704182,133.155004267458
"Palmerston",-12.5025042636095,130.979185071281
"Roper Gulf",-15.4335242853199,134.642876707974
"Tiwi Islands",-11.5599780080636,130.816386421927
"Victoria Daly",-16.2432018256531,130.661743141928
"Wagait",-12.4412367869659,130.749788564051
"West Arnhem",-12.5081927359339,133.258549074413
"West Daly",-14.2225241367775,130.060321960082
"Unincorporated NT",-13.1067966132043,131.187656647594
"No usual address (NT)",NA,NA
"Migratory - Offshore - Shipping (NT)",NA,NA
"Unincorporated ACT",-35.4883042856221,149.002696642457
"No usual address (ACT)",NA,NA
"Migratory - Offshore - Shipping (ACT)",NA,NA
"Unincorp. Other Territories",-33.2004768881974,157.253240018848
"No usual address (OT)",NA,NA
"Migratory - Offshore - Shipping (OT)",NA,NA
"Outside Australia",NA,NA
